ITEM_20150317_000001	空_頭盔 
ITEM_20150317_000002	姆爾米洛頭盔 
ITEM_20150317_000003	空_護腕 
ITEM_20150317_000004	紅護腕 
ITEM_20150317_000005	護腕 
ITEM_20150317_000006	扭結護腕 
ITEM_20150317_000007	長筒護腕
ITEM_20150317_000008	羽毛護腕 
ITEM_20150317_000009	纓旒護腕 
ITEM_20150317_000010	空_武器 
ITEM_20150317_000011	粗糙的短劍 
ITEM_20150317_000012	單手劍[斬擊] 
ITEM_20150317_000013	一種帝國士兵普遍攜帶和使用的武器. 
ITEM_20150317_000014	短劍 
ITEM_20150317_000015	這種製作出的武器比軍用版更有改進空間. 
ITEM_20150317_000016	{memo X}矮刀 
ITEM_20150317_000017	這是一把鋒利非凡的刀. 
ITEM_20150317_000018	{memo X}低等卡斯卡拉(Kaskara) 
ITEM_20150317_000019	由於製造簡易, 這把劍經常是冒險者替代訓練用劍的第一選擇. 
ITEM_20150317_000020	五指劍 
ITEM_20150317_000021	推薦給那些渴望使用更重更強劍的人. 
ITEM_20150317_000022	馬刀 
ITEM_20150317_000023	為騎兵削砍作優化的主要武器.劍柄上的防護幫助保護使用者的手. 
ITEM_20150317_000024	彎刀 
ITEM_20150317_000025	巨大新月狀的刀鋒給予更強力的斬擊. 
ITEM_20150317_000026	半月彎刀 
ITEM_20150317_000027	沉重的刀身使它能造成更強力的斬擊. 
ITEM_20150317_000028	波狀刃短劍 
ITEM_20150317_000029	此劍扭曲的刀鋒會使傷口擴大.是一把即實用又美觀的刀. 
ITEM_20150317_000030	斯內科斯短刀 
ITEM_20150317_000031	異常鋒利的刀身使它在身經百戰的劍士中也非常受歡迎. 
ITEM_20150317_000032	粗糙的彎刀 
ITEM_20150317_000033	粗糙的半月彎刀 
ITEM_20150317_000034	士兵短劍 
ITEM_20150317_000035	正規軍的基本配置, 整體質量比市面上的優異. 
ITEM_20150317_000036	市長的刀 
ITEM_20150317_000037	看了這武器, 就引起了對過去主人的懷疑. 
ITEM_20150317_000038	粗糙的卡斯卡拉 
ITEM_20150317_000039	莫普拉
ITEM_20150317_000040	結合實用性和美學的刀. 
ITEM_20150317_000041	沉重的短刀 
ITEM_20150317_000042	彎刀 
ITEM_20150317_000043	重劍 
ITEM_20150317_000044	卡斯卡拉(Kaskara) 
ITEM_20150317_000045	重型五指劍 
ITEM_20150317_000046	重型馬刀 
ITEM_20150317_000047	重型半月彎刀 
ITEM_20150317_000048	Dunkel 佩劍 
ITEM_20150317_000049	Dunkel 短刀 
ITEM_20150317_000050	Dunkel 彎刀 
ITEM_20150317_000051	Dunkel 卡斯卡拉(Kaskara) 
ITEM_20150317_000052	Dunkel 五指劍 
ITEM_20150317_000053	Dunkel 半月彎刀 
ITEM_20150317_000054	小柄小刀 
ITEM_20150317_000055	No tooltip available. 
ITEM_20150317_000056	闊刃彎刀 
ITEM_20150317_000057	賽義夫彎刀 
ITEM_20150317_000058	細身劍 
ITEM_20150317_000059	印度軍刀 
ITEM_20150317_000060	刺刀 
ITEM_20150317_000061	德米翁彎刃劍 
ITEM_20150317_000062	主宰之劍 
ITEM_20150317_000063	失語者長劍 
ITEM_20150317_000064	失語者製作的粗糙短劍, 你可以做一個更好的. 
ITEM_20150317_000065	弗洛納斯佩劍(Flonas) 
ITEM_20150317_000066	有人說這把劍釋放了植物對動物的怨氣. 
ITEM_20150317_000067	黃金彎刀 
ITEM_20150317_000068	可能由於黃金與財富密不可分, 黃金彎刀賜予持劍者搏鬥中好運, 並給敵人重創. 
ITEM_20150317_000069	鋼劍 
ITEM_20150317_000070	鋼劍是那些追求精藝劍術的不錯選擇. 
ITEM_20150317_000071	銀劍 
ITEM_20150317_000072	輕便並堅固的銀劍讓你在戰鬥中發揮潛能. 
ITEM_20150317_000073	曼陀羅劍(Mandrapick） 
ITEM_20150317_000074	這把劍用曼陀羅精華淨化心靈. 
ITEM_20150317_000075	巫師之刃 
ITEM_20150317_000076	永遠不要小看持劍的巫師, 尤其是那把劍是巫師之刃. 
ITEM_20150317_000077	凱米尼斯之劍(Cheminis) 
ITEM_20150317_000078	這把劍是按照一位來自Winterspoon家族的煉金術師發明的圖紙製作的, 他聲稱他能做出比鐵匠更好的劍. 
ITEM_20150317_000079	奧斯塔斯之劍(Austas) 
ITEM_20150317_000080	這把劍價格不菲.然而, 對於長久使用商家更期望你購買別的武器. 
ITEM_20150317_000081	密斯卡斯佩劍(Miskas) 
ITEM_20150317_000082	這把劍會讓你的劍速更快. 
ITEM_20150317_000083	軸心之劍 
ITEM_20150317_000084	退休的冒險者往往會跟你述說第一次握起這把劍時心中的激動. 
ITEM_20150317_000085	怨嚎 
ITEM_20150317_000086	總是英勇的冒險者所持有, 諷刺的是總是在強大的怪物身上發現這把劍, 往往得到這把劍的主人會為前一位主人報仇. 
ITEM_20150317_000087	羅馬劍 
ITEM_20150317_000088	一個加長劍長度的改進型短劍. 
ITEM_20150317_000089	阿拉斯彎刀 
ITEM_20150317_000090	這把武器會讓你曉得何謂真正的彎刀. 
ITEM_20150317_000091	鐵匠之劍(Smith) 
ITEM_20150317_000092	2%機率造成額外的600%傷害. 
ITEM_20150317_000093	這把劍偶爾閃耀著創造者的工藝. 
ITEM_20150317_000094	克萊維斯單手劍 
ITEM_20150317_000095	拋開它的質量, 它賣得相當好. 
ITEM_20150317_000096	迪奧單手劍
ITEM_20150317_000097	多重 長劍 
ITEM_20150317_000098	賽絲托 長劍 
ITEM_20150317_000099	Dratt 長劍 
ITEM_20150317_000100	亞斯頓 長劍 
ITEM_20150317_000101	Devi 長劍 
ITEM_20150317_000102	Prima 長劍 
ITEM_20150317_000103	聖三一長劍 
ITEM_20150317_000104	如果你不滿意你的劍, 這把劍是一種選擇。然後你必須忍受它昂貴的價格. 
ITEM_20150317_000105	杜蘭達爾(Durandal) 
ITEM_20150317_000106	許多冒險者將這個名字刻在他們的愛劍上.這個名字是被女神選中的遠古戰士使用劍的名字. 
ITEM_20150317_000107	維爾涅普(Velniup) 
ITEM_20150317_000108	人們會說這種武器過於殘忍. 
ITEM_20150317_000109	福爾蒂斯(Fortis) 
ITEM_20150317_000110	相對於巨型植物災變時的低迷, 復甦的強筋裝甲怪物證明了這把刀的價值. 
ITEM_20150317_000111	幻影切割者 
ITEM_20150317_000112	根據原理, 這把刀用來對惡魔的戰鬥. 
ITEM_20150317_000113	死亡編織者 
ITEM_20150317_000114	揮舞此劍, 即為死神. 
ITEM_20150317_000115	幻影魔劍 
ITEM_20150317_000116	這把劍印證了惡魔的內鬥. 
ITEM_20150317_000117	班德拉斯之劍(Bendras) 
ITEM_20150317_000118	女神為鏟除邪惡賜予這把劍一絲力量和祝福. 
ITEM_20150317_000119	伊莉西婭(Illizia) 
ITEM_20150317_000120	大多數劍客忽略了這把劍對生命和財產的嚴重威脅. 
ITEM_20150317_000121	將刪除 
ITEM_20150317_000122	雙手劍[斬擊] 
ITEM_20150317_000123	Dunkel 變種劍 
ITEM_20150317_000124	部分大師工匠和劍客為證明自己稱之為"混種雙手劍". 
ITEM_20150317_000125	焰形巨劍 
ITEM_20150317_000126	在雙手劍大師的手中手裡, 波狀劍刃將會造成巨大殺傷. 
ITEM_20150317_000127	野太刀 
ITEM_20150317_000128	長度恰到好處的野太刀擁有十足的斬擊威力且可以有效的控制住敵我的距離. 
ITEM_20150317_000129	雙刃闊劍 
ITEM_20150317_000130	帝國的闊劍強調力量和重量. 
ITEM_20150317_000131	巨劍 
ITEM_20150317_000132	特定的刀刃形狀適應多種劍術而且砍殺威力巨大. 
ITEM_20150317_000133	石中劍 
