QUEST_20150317_000001	請選擇使用者需要任務更新.
QUEST_20150317_000002	女神像 Vakarine
QUEST_20150317_000003	請選擇地區.
QUEST_20150317_000004	選擇
QUEST_20150317_000005	請選擇物品.
QUEST_20150317_000006	選擇群組
QUEST_20150317_000007	請選擇開始作弊群組.
QUEST_20150317_000008	選擇地區
QUEST_20150317_000009	請選擇開始地區.
QUEST_20150317_000010	選擇演化
QUEST_20150317_000011	請選擇職業.
QUEST_20150317_000012	Bokor 導師
QUEST_20150317_000013	所以你想去學習更多關於這個石製石板. {nl}如果你願意, 我會告訴你它的創造者的意志.
QUEST_20150317_000014	女神拉伊瑪
QUEST_20150317_000015	到時候你得到這個訊息, 很長時間過去了. {nl}我是命運和智慧女神, 拉伊瑪.
QUEST_20150317_000016	600 年前, 我看見很多痛苦和死亡. {nl}如果你看到這個訊息, 那麼恐怕我所預見到的可能已經應驗.
QUEST_20150317_000017	惡魔已經開始了第一次的災難，所有的女神都煙消雲散. {nl}我就知道會這樣，做了所有我能改變這種命運，但是，單靠我的力量是不夠的。
QUEST_20150317_000018	相反，i wandered through many far-seeing dreams for an answer. {nl}你是他們的最後… 的救世者.
QUEST_20150317_000019	然而，知道我的千里眼，惡魔永遠不會休息，直到他們看到我走了。 {nl}我被迫躲起來，直到你的出現的時間.
QUEST_20150317_000020	I resolved to divide my being and subsist inside these many messages. {nl}我繼續偷偷創建它們, even as the kingdoms flew by over the millennia.
QUEST_20150317_000021	救世者, 這些訊息都散落在不同的時間軸. {nl}一旦他們都匯聚, 我將恢復我的原本形態和幫忙對抗惡魔.
QUEST_20150317_000022	這個神聖的任務可能是一個沉重的負擔, 但它是你必須承擔. {nl}也許，在你的考驗和磨難的泥濘之中，有一些可能出現的。
QUEST_20150317_000023	然而, 只有你和我可以拯救這個世界.
QUEST_20150317_000024	I've passed the next Revelation to the first Paladin. {nl}我會在最高花園等你.
QUEST_20150317_000025	{memo X}
QUEST_20150317_000026	{memo X}
QUEST_20150317_000027	請選擇首選 Smart Gen.
QUEST_20150317_000028	William
QUEST_20150317_000029	{memo X}
QUEST_20150317_000030	Cyneburg
QUEST_20150317_000031	{memo X}
QUEST_20150317_000032	{memo X}
QUEST_20150317_000033	{memo X}
QUEST_20150317_000034	流浪商人
QUEST_20150317_000035	Like a dandelion's seeds, I am merely one who follows the wind. {nl}因為我們在這樣一種奇特的方式見面，也許你可以花一點時間來查看我的好奇心?
QUEST_20150317_000036	Kristina
QUEST_20150317_000037	歡迎! {nl}你正在尋找一個旅行伴侶吧? {nl}你不會找到比這裡更好的夥伴的地方!
QUEST_20150317_000038	{memo X}
QUEST_20150317_000039	{memo X}
QUEST_20150317_000040	{memo X}
QUEST_20150317_000041	選擇任務
QUEST_20150317_000042	修改任務狀態
QUEST_20150317_000043	強制開始?
QUEST_20150317_000044	物品將會刪除
QUEST_20150317_000045	選擇 GenType
QUEST_20150317_000046	選擇坐標
QUEST_20150317_000047	騎士 Titas
QUEST_20150317_000048	如果是這樣，去 Klaipeda 看看騎士指揮官 Uska . {nl}但首先，我有一個認真的差事，我希望你能出席。
QUEST_20150317_000049	如果我能找到片刻的放鬆, 這將是很好…
QUEST_20150317_000050	Sparnas… {nl}不是有人掉以輕心…
QUEST_20150317_000051	士兵 Moody
QUEST_20150317_000052	在對話前, 讓我們來先處理這個怪物.
QUEST_20150317_000053	聯合調查隊 - Scott
QUEST_20150317_000054	我渴望什麼時候不再需要我們的隊伍… {nl}噢, 我指的是一個和平的世界…
QUEST_20150317_000055	我不知道在哪開始. {nl}你有聽到任何東西嗎?
QUEST_20150317_000056	是皇家命令, 我們來到這片森林，調查了一些奇怪的事件. {nl}目擊者報告說一些東西有大臉和手指骨. {nl}這世界真是什麼都有?
QUEST_20150317_000057	在過去，朝聖者通過這個森林旅行. {nl}但是現在，由於怪物的存在，只有士兵聚集在這裡.
QUEST_20150317_000058	直到 4 年前, 女神經常給我們的恩賜, 顯示他們的存在跡象. {nl}但是現在，即使是我們共同的祈禱不會帶來這麼多的震顫. {nl}他們有沒有真正地拋棄了我們?
QUEST_20150317_000059	Vacenin 親自去每個區域處理的事情。 {nl}當他留在這個城市時, 他會感覺不舒服.
QUEST_20150317_000060	你打算留下來還是入伍？ {nl}如果你有興趣, 我會很樂意推薦你給 head 指揮官.
QUEST_20150317_000061	不要放鬆警惕. 怪物可以出現在任何時間，任何地點.
QUEST_20150317_000062	女神 Zemyna 會去這個世界的哪裡…
QUEST_20150317_000063	在世界上這個東西你會叫什麼?
QUEST_20150317_000064	我覺得地球女神, Zemyna, 會比誰都傷心.
QUEST_20150317_000065	Pokubu 一直在這裡, 但其他未知的怪物有時也會發現在這.
QUEST_20150317_000066	我已經想過這個問題. 毫無疑問, 女神已經拋棄了我們所有. {nl}如果不是這樣，那麼就不會有這麼多的怪物.
QUEST_20150317_000067	他們說，有一個人具有得天獨厚的女神力量住在森林.
QUEST_20150317_000068	我想回家.
QUEST_20150317_000069	這裡的怪物的數量似乎沒有什麼改變，無論我們殺了多少隻.
QUEST_20150317_000070	{memo X}
QUEST_20150317_000071	我很驚訝. {nl}你是我在幾年內看到的第一個人.
QUEST_20150317_000072	我會顯示給你知我看到什麼.
QUEST_20150317_000073	{memo X}
QUEST_20150317_000074	Lena
QUEST_20150317_000075	請告訴我知你的生命故事. {nl}我們遵循 Vibora 的意願，記錄所有在這個世界上的事.
QUEST_20150317_000076	Henryka
QUEST_20150317_000077	你好! {nl}歡迎來到法師協會 Klaipeda 分行. {nl}我們專注於留學時特殊物品互相結合所發生的怪現象。
QUEST_20150317_000078	這裡沒有什麼可看 but steam and Vubbes. {nl}等等, what's that thing with the big face that's approaching?!
QUEST_20150317_000079	土地需要我們的關注. {nl}這個世界仍然沒有毀了… 對吧?
QUEST_20150317_000080	如果我們保持尊重, 那麼我們還是有恩惠和知識. {nl}我們都應該考慮這個爛攤子是否是我們的錯，因為我們依賴於女神的一切.
QUEST_20150317_000081	公告板
QUEST_20150317_000082	歡迎來到 Klaipeda 的礦工小鎮!
QUEST_20150317_000083	冷漠寡婦
QUEST_20150317_000084	我不確定我完全理解, 但我敢肯定的是女神不是一次過全部消失.
QUEST_20150317_000085	第一個消失是女神 Gabija. {nl}我聽說這是一個很久時間以前. {nl}一個接一個, starting with Gabija, they stopped replying.
QUEST_20150317_000086	聖樹之日不久之前女神 Vakarine 離開了我們. {nl}之後 Zemyna 和 Ausrine 也很快一起消失. {nl}這已經在四年前了.
QUEST_20150317_000087	{memo X}
QUEST_20150317_000088	{memo X}
QUEST_20150317_000089	休息中的士兵
QUEST_20150317_000090	我以前和你一樣也是個冒險家，直到我的膝蓋中了一箭…
QUEST_20150317_000091	不要緊. 來吧，面對我，你這隻怪物!
QUEST_20150317_000092	女神剛才出現在我的夢中… {nl}它是如此迷人…
QUEST_20150317_000093	不過，我有責任保衛王國。這就是為什麼我在這裡.
QUEST_20150317_000094	Uska 是我的老朋友。
QUEST_20150317_000095	我們一起去做測試成為了騎士. Uska got to where he is now with my sincere support. {nl}呵呵，這些都是一些瘋狂的日子… 那會是很高興再次見到他.
QUEST_20150317_000096	{memo X}
QUEST_20150317_000097	我? 我覺得很有趣，所以我只讓他一個人.
QUEST_20150317_000098	呃, 等等. 我收回全部我說過不相信他的說話.
QUEST_20150317_000099	任何從他口中說出的一切都是謊言. 不要相信他.
QUEST_20150317_000100	Siauliai 守衛
QUEST_20150317_000101	{memo X}
QUEST_20150317_000102	These woods aren't exactly peaceful, but it's better than other places. {nl}There are forests that have nothing but souls roaming about.
QUEST_20150317_000103	這是用來稱呼一些在他們夢中看見女神的人.
QUEST_20150317_000104	I thought the Revelators' visions were madness at first. {nl}畢竟女神已經走了很長時間.
QUEST_20150317_000105	自從四年前的聖樹之日, 女神好似真的沒有再回應我們的祈禱?
QUEST_20150317_000106	你可以在王國周圍找到全部職業導師. {nl}你為什麼不拜訪他們了解一下?
QUEST_20150317_000107	你不知道關於 聖樹之日? 你一定是來自非常遠這裡的地方. {nl}4 年前, things went out of control in the capital.
QUEST_20150317_000108	{memo X}
QUEST_20150317_000109	如果你想了解四年前在 聖樹之日 身上發生了什麼事, 建議去 Klaipeda. {nl}在那有許多倖存者在那裡避難.
QUEST_20150317_000110	Eastern Woods Sentinel
QUEST_20150317_000111	你要前往 Eastern Woods? {nl}你不能這樣! 這太危險了!
QUEST_20150317_000112	Damn, those stubborn things chased us this far!
QUEST_20150317_000113	{memo X}
QUEST_20150317_000114	安全說明
QUEST_20150317_000115	1. 只有授權的人士才可進入. {nl}2. 永遠跟從礦洞主管指示.
