SKILL_20150317_000001	攻擊
SKILL_20150317_000002	[Elite Kepa] 1次, 物理, 毒屬性, 打擊
SKILL_20150317_000003	[Rafflesia] 毒性擴散
SKILL_20150317_000004	[Rafflesia] 毒製炸彈
SKILL_20150317_000005	[Raffly] 物理, 打擊, 毒屬性, 攻擊 1次
SKILL_20150317_000006	[Raffly] 物理, 打擊, 毒屬性, 跳躍攻擊 1次
SKILL_20150317_000007	[Puragi] 物理, 打擊, 毒屬性, 普通攻擊 1次
SKILL_20150317_000008	[Puragi] 物理, 打擊, 毒屬性, 攻擊 1次
SKILL_20150317_000009	[Puragi] 物理, 打擊, 毒屬性, Stomp 1次
SKILL_20150317_000010	[Zigri] 普通攻擊, 扇形區域攻擊
SKILL_20150317_000011	[Zigri] Spinning 打擊
SKILL_20150317_000012	[Zigri] Jump and Stomping Shock
SKILL_20150317_000013	[Fisherman] 物理, 打擊, 冰屬性, 打擊 with 釣魚竿
SKILL_20150317_000014	[Fisherman] 魔法, Buff, 魔法, Buff Skill
SKILL_20150317_000015	[Green Pokuborn] 物理, 刺擊, 雷屬性, Horn 攻擊 1次
SKILL_20150317_000016	[Bushspider] 物理, 打擊, 地屬性, 攻擊 1次
SKILL_20150317_000017	[Fragaras] Quick bite
SKILL_20150317_000018	[Fragaras] Large Chomp
SKILL_20150317_000019	[Fragaras] 普通攻擊, 扇形區域攻擊
SKILL_20150317_000020	Basic 普通攻擊
SKILL_20150317_000021	[Meduja] 魔法, 魔法, 雷屬性 攻擊 1次
SKILL_20150317_000022	[Gribaru] 物理, 斬擊, 雷屬性 攻擊 1次
SKILL_20150317_000023	[Gribaru] 物理, 斬擊, 雷屬性 Knock-back 攻擊 攻擊 1次
SKILL_20150317_000024	[Bite] 物理, 刺擊, 毒屬性 攻擊 1次,
SKILL_20150317_000025	[Banshee] 魔法, 魔法, 冰屬性, Breath 攻擊 1次
SKILL_20150317_000026	[Banshee] 魔法, 魔法, 冰屬性, 冰槍
SKILL_20150317_000027	[Mini Griba] 物理, 打擊, 雷屬性, Two-handed 打擊 1次
SKILL_20150317_000028	[Big Griba] 物理, 打擊, 雷屬性, Smash 1次
SKILL_20150317_000029	[Big Griba] 物理, 打擊, 雷屬性,Spread 毒 1次
