
UI_20150317_000001	{@st41b}可以從各職業的導師處{nl}學習到對應的特性技能。{/}
UI_20150317_000002	{@st43}特性列表{/}
UI_20150317_000003	{@st59}關閉特性列表{/}
UI_20150317_000004	{@st43}學習特性{/}
UI_20150317_000005	{@st59}關閉特性視窗{/}
UI_20150317_000006	{@st41b}銀幣{/}
UI_20150317_000007	我的成就
UI_20150317_000008	伺服器排名
UI_20150317_000009	{@st59}出現緊急任務{/}
UI_20150317_000010	{@st59}出現提示{/}
UI_20150317_000011	{@st41}想製作哪種箭矢？{/}
UI_20150317_000012	{@st41b}單次{/}
UI_20150317_000013	{@st41b}全部{/}
UI_20150317_000014	{@st41b}暫停{/}
UI_20150317_000015	{@st43}冒險日誌{/}
UI_20150317_000016	{@st43}拍賣所{/}
UI_20150317_000017	{@st59}關閉信箱{/}
UI_20150317_000018	{memo X}{@st41b}Items Sold : ×%s, Items Unsold : ×%s{/}
UI_20150317_000019	{@st43}{s22}拍賣道具{/}
UI_20150317_000020	{@st59}關閉任務欄{/}
UI_20150317_000021	Availest
UI_20150317_000022	{@st41b}剩餘時間
UI_20150317_000023	3小時 16分
UI_20150317_000024	{@st41b}起標價
UI_20150317_000025	{@st41b}競標數
UI_20150317_000026	{@st41b}目前標價
UI_20150317_000027	{@st41b}競標金額
UI_20150317_000028	{@st41b}最低 {@st57}%s {@st41b}銀幣起可競標{/}
UI_20150317_000029	{@st41b}競標{/}
UI_20150317_000030	{@st43b}立刻購入！{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}權限設定{/}
UI_20150317_000032	{@st45}名字：%s{/}
UI_20150317_000033	{@st45}隊伍倉庫{/}
UI_20150317_000034	{@st49}無
UI_20150317_000035	{@st49}取出
UI_20150317_000036	{@st49}存入
UI_20150317_000037	{@st45}問卷{/}
UI_20150317_000038	{@st49}建立
UI_20150317_000039	{@st49}刪除
UI_20150317_000040	{@st44}保存{/}
UI_20150317_000041	{@st44}取消{/}
UI_20150317_000042	{@st43}{s22}髮廊{/}
UI_20150317_000043	{@st59}前一個髮型{/}
UI_20150317_000044	{@st59}下一個髮型{/}
UI_20150317_000045	{@st41b}更改{s18}(需要 100 iCoin){/}
UI_20150317_000046	{@st59}修改為選定的髮型。{/}
UI_20150317_000047	{@st41}取消
UI_20150317_000048	{@st43}黑市{/}
UI_20150317_000049	書籍名稱
UI_20150317_000050	{@St59}結束閱讀{/}
UI_20150317_000051	{@st59}上一頁{/}
UI_20150317_000052	{@st59}下一頁{/}
UI_20150317_000053	{@st47}%s 登場！！
UI_20150317_000054	{@st43}分數{/}
UI_20150317_000055	受到的傷害
UI_20150317_000056	技巧獎勵
UI_20150317_000057	迴避獎勵
UI_20150317_000058	通關時間
UI_20150317_000059	總分
UI_20150317_000060	{@st42}花費時間
UI_20150317_000061	10分
UI_20150317_000062	10秒
UI_20150317_000063	{memo X}{@st44}Complete
UI_20150317_000064	{@st59}關閉個人商店{/}
UI_20150317_000065	{@st43}技能卷軸個人商店
UI_20150317_000066	個人商店名稱
UI_20150317_000067	{memo X}{@st43}登錄
UI_20150317_000068	{memo X}{@st43}取消
UI_20150317_000069	技能卷軸個人商店
UI_20150317_000070	{@st59}關閉技能卷軸個人商店。
