有問題的地方
UI_20150317_000021	最有效益的  // Availest 
UI_20150317_000035 {@st49}儲存  //store
UI_20150317_000036 {@st49}取回  //Retrieve

UI_20150317_001143	商店販售價格 : %s 銀幣	
UI_20150317_001232	{@st42b}投標價格 {img icon_item_silver 20 20}{@st57} %s{/}
UI_20150317_001245	{@Sti7}%s 點{/}
UI_20150323_001390	{@st59}更改房屋設置{/}	

個人認為可改進的
UI_20150317_000002 {@st43}特性列表{/}
UI_20150317_000003 {@st59}關閉特性列表{/}
UI_20150317_000005 {@st59}關閉特性視窗{/}
UI_20150317_000014	{@st41b}暫停{/}
UI_20150317_000016 {@st43}拍賣所{/}
UI_20150317_000017 {@st59}關閉拍賣所{/}
UI_20150317_000020 {@st59}關閉任務欄{/}
UI_20150317_000024 {@st41b}起標價
UI_20150317_000025	{@st41b}競標數
UI_20150317_000026 {@st41b}目前標價
UI_20150317_000027	{@st41b}競標金額
UI_20150317_000028	{@st41b}最低 {@st57}%s {@st41b}銀幣起可競標{/}
UI_20150317_000029	{@st41b}競標{/}
UI_20150317_000031	{@st44}權限設定{/}
UI_20150317_000038	{@st49}建立
UI_20150317_000042	{@st43}{s22}髮廊{/}
UI_20150317_000045	{@st41b}更改{s18}(需要 100 iCoin){/}
UI_20150317_000051	{@st59}上一頁{/}
UI_20150317_000052	{@st59}下一頁{/}
UI_20150317_000069	技能卷軸個人商店
UI_20150317_000077	{@st43}進階資訊{/}
UI_20150317_000087	轉職提示
UI_20150317_000101	{@st59}密語 (/w 小屋名 訊息){/}
UI_20150317_000103	{@st43}{s22}聊天巨集{/}
UI_20150317_000104	{@st43}聊天巨集{/}
UI_20150317_000105	{@st59b}聊天巨集 {nl} {@st59s} - 使用方法： {nl} 1. 從上方視窗選擇手勢記錄至下方快捷欄。 {nl} 2. 將手勢與設定好的資訊組合起來。 {nl} 3. 綁定/啟動對應熱鍵。 {/}
UI_20150317_000106	{@st59}關閉巨集{/}
UI_20150317_000108	{@st59}保存變更{/}
UI_20150317_000121	{s16}{b}雙擊或點擊建立按鈕可以生成道具。
UI_20150317_000124	{@st41b}搜尋{/}
UI_20150317_000125	{s16}{b}雙擊或點擊建立按鈕可召喚魔物。
UI_20150317_000127	{s16}{b}選擇想要設置的區域。
UI_20150317_000130	{@st59b}收藏品 {nl}{@st59s}- 取得收藏品套組就將收集的道具納入收藏。 {nl} - 收藏品套組可以透過快捷鍵啟動。{nl} {/}
UI_20150317_000132	{@st43}收藏品{/}
UI_20150317_000135 {@st49}顏色{/} 
UI_20150317_000136 {@st49}剩餘量{/}
UI_20150317_000137	{@st49}筆刷{/}
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}匯入存檔{/}{/}
UI_20150317_000142	{@st43} 雇用同伴
UI_20150317_000143	{@st59} 請輸入新雇用的同伴名字{/}
UI_20150317_000146	{@st59}關閉雇用同伴視窗 {/}
UI_20150317_000147	{@st41b}雇用
UI_20150317_000148	{@st59}選擇雇用的同伴{/}
UI_20150317_000153	{@st41b}資訊
UI_20150317_000155	隊伍名稱
UI_20150317_000156	角色名稱
UI_20150317_000161	已完成成就：{#ffff00}%s{/}個
UI_20150317_000171	NPC 名稱
UI_20150317_000192	對方的名字
UI_20150317_000194	{s20}{ol}[活動] 擊退 瓦布族！要參加活動嗎？
UI_20150317_000212	{@st59b}好友列表{nl}{@st59s} - 在遊戲中與其他玩家成為好友。{nl} - 你可以在列表標籤裡確認好友狀態。{nl} - 你可以在【管理】分頁中 邀請、拒絕、黑名單你的好友。 {/}
UI_20150317_000225	{@st44}建立公會{/}
UI_20150317_000226	{@st42}建立{/}
